file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-client-kotlin\src\main\java\im\turms\client\model\proto\model\user\UserOnlineStatuses.java,im.turms.client.model.proto.model.user.UserOnlineStatuses$Builder,innerclass,5,5,0,5,13,1,0,11,78,0.0,0.0,0.0,13,0,12,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,59,12,0,0,0,0,0,0,0,0,0,0,0,0,0,36,25,0
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-service\src\main\java\im\turms\service\domain\group\service\GroupTypeService.java,im.turms.service.domain.group.service.GroupTypeService,class,22,26,4,22,22,1,0,41,0,0.6,0.7111111,0.8,10,0,10,0,0,0,10,0,0,0,4,1,0,4,0,0,4,0,17,108,13,1,3,3,0,20,7,10,2,20,3,0,0,9,71,1,1
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-client-kotlin\src\main\java\im\turms\client\model\proto\request\user\relationship\QueryRelationshipGroupsRequest.java,im.turms.client.model.proto.request.user.relationship.QueryRelationshipGroupsRequest,class,10,14,4,10,33,1,0,6,207,0.8818182,0.6315789,0.6315789,22,16,18,3,1,0,20,0,1,0,5,3,1,4,0,0,2,0,2,142,25,0,3,0,2,5,7,13,0,9,4,0,1,0,73,17,0
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-service\src\main\java\im\turms\service\domain\user\access\admin\controller\UserOnlineInfoController.java,im.turms.service.domain.user.access.admin.controller.UserOnlineInfoController,class,27,27,0,27,20,2,0,29,3,0.6428572,0.42857143,1.0,7,0,7,0,0,0,7,0,0,0,6,0,0,6,0,0,6,0,0,94,11,4,4,0,0,7,1,19,0,23,4,0,0,7,67,1,0
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-server-common\src\main\java\im\turms\server\common\access\client\dto\request\user\QueryNearbyUsersRequest.java,im.turms.server.common.access.client.dto.request.user.QueryNearbyUsersRequest$Builder,innerclass,11,11,0,11,84,1,0,40,439,0.8571428,0.34952766,0.54790825,42,1,38,3,1,0,39,0,4,0,8,0,0,8,0,0,0,0,2,315,41,1,17,1,24,0,71,70,0,14,4,0,0,0,88,25,0
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-server-common\src\main\java\im\turms\server\common\access\client\dto\model\storage\StorageResourceInfos.java,im.turms.server.common.access.client.dto.model.storage.StorageResourceInfos$Anonymous1,anonymous,4,4,0,4,4,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,1,0,0,0,1,0,1,1,0,0,0,12,-1,0
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-server-common\src\main\java\im\turms\server\common\infra\cluster\service\codec\codec\impl\SetCodec.java,im.turms.server.common.infra.cluster.service.codec.codec.impl.SetCodec,class,10,11,1,10,12,1,0,22,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,8,48,8,2,4,0,0,1,5,10,3,10,1,0,0,0,35,1,0
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-plugins\turms-plugin-minio\src\main\java\im\turms\plugin\minio\MinioStorageServiceProvider.java,im.turms.plugin.minio.MinioStorageServiceProvider,class,45,47,2,45,103,2,0,169,320,0.8963318,0.2,0.34736842,33,0,19,14,0,0,20,0,0,0,19,7,0,19,0,0,7,0,17,441,70,3,14,7,0,63,13,94,22,107,4,0,0,33,271,1,3
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-server-common\src\main\java\im\turms\server\common\infra\lang\StringUtil.java,im.turms.server.common.infra.lang.StringUtil,class,9,24,15,9,145,1,0,47,721,0.95512825,0.014224751,0.029871978,39,38,37,2,0,0,38,0,0,0,8,8,0,8,0,0,8,0,81,531,54,26,45,9,2,24,95,163,27,116,3,0,0,0,190,17,0
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-service\src\main\java\im\turms\service\domain\conversation\service\ConversationService.java,im.turms.service.domain.conversation.service.ConversationService,class,24,30,6,24,50,1,0,49,48,0.7604167,0.30476192,0.53333336,16,0,15,1,0,0,15,0,0,0,6,0,0,6,0,0,3,0,19,205,37,4,6,12,0,18,2,22,0,22,1,0,0,4,66,1,0
